from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-29 02:30:00+00:00,2025-08-29 03:00:00+00:00,79,79,low
2025-08-29 03:00:00+00:00,2025-08-29 03:30:00+00:00,83,88,low
2025-08-29 03:30:00+00:00,2025-08-29 04:00:00+00:00,87,99,low
2025-08-29 04:00:00+00:00,2025-08-29 04:30:00+00:00,92,113,moderate
2025-08-29 04:30:00+00:00,2025-08-29 05:00:00+00:00,110,121,moderate
2025-08-29 05:00:00+00:00,2025-08-29 05:30:00+00:00,108,133,moderate
2025-08-29 05:30:00+00:00,2025-08-29 06:00:00+00:00,131,141,moderate
2025-08-29 06:00:00+00:00,2025-08-29 06:30:00+00:00,143,145,moderate
2025-08-29 06:30:00+00:00,2025-08-29 07:00:00+00:00,148,149,moderate
2025-08-29 07:00:00+00:00,2025-08-29 07:30:00+00:00,152,146,moderate
2025-08-29 07:30:00+00:00,2025-08-29 08:00:00+00:00,153,146,moderate
2025-08-29 08:00:00+00:00,2025-08-29 08:30:00+00:00,145,140,moderate
